"contrast","estimate","SE","df","z.ratio","p.value"
"2_2 - 6_3",1.51513450398864,0.332581102985761,Inf,4.5556842838828,0.00128847643008179
"2_2 - 6_4",1.46249430448525,0.328818806646264,Inf,4.4477209786196,0.00209822943908078
"2_3 - 2_4",1.61808381186936,9.64391294665911,Inf,0.167782913514364,1
"2_3 - 3_1",1.51085035808681,9.64399766248661,Inf,0.15666224847438,1
"2_3 - 3_2",-0.0962583920807347,19.0371958308899,Inf,-0.0050563325048401,1
"2_3 - 3_3",1.78676338502057,9.64385101676086,Inf,0.185274884681981,1
"2_3 - 3_4",2.14914575845231,9.64418901205834,Inf,0.222843595844626,1
"2_3 - 4_1",2.32311523429437,9.64437420585211,Inf,0.24087775782121,1
"2_3 - 4_2",1.86935692119338,9.64382041669164,Inf,0.193839872625363,1
"2_3 - 4_3",2.44496470282813,9.6445492573727,Inf,0.25350740999732,1
"2_3 - 4_4",1.75546463572951,9.64389276658206,Inf,0.182028634931792,1
"2_3 - 5_1",2.32013607981842,9.64435181081836,Inf,0.240569415688035,1
"2_3 - 5_2",0.0693252543370528,12.0770616149523,Inf,0.0057402418359134,1
"2_3 - 5_3",2.90547039503882,9.64534834446087,Inf,0.301230219093889,1
"2_3 - 5_4",1.7809569655288,9.64383663544291,Inf,0.184673074923672,1
"2_3 - 6_1",3.29854977453126,9.64621833464913,Inf,0.341952634711045,1
"2_3 - 6_2",2.42884989136426,9.64439236040379,Inf,0.251840634495149,1
"2_3 - 6_3",2.82740462608925,9.64505721574388,Inf,0.293145448787386,1
"2_3 - 6_4",2.77476442658587,9.64491229465373,Inf,0.287692033044608,1
"2_4 - 3_1",-0.107233453782548,0.310113973183898,Inf,-0.345787236484693,1
"2_4 - 3_2",-1.7143422039501,16.4198983415761,Inf,-0.104406383540712,1
"2_4 - 3_3",0.168679573151213,0.290965590648825,Inf,0.579723440064077,0.999999999983138
"2_4 - 3_4",0.531061946582947,0.284121590158866,Inf,1.86913619019943,0.974640616972651
"2_4 - 4_1",0.705031422425009,0.284933671747893,Inf,2.47437032660996,0.695679308726202
"2_4 - 4_2",0.251273109324021,0.284869527503321,Inf,0.88206383998405,0.999999891594043
"2_4 - 4_3",0.826880890958765,0.285779497952045,Inf,2.89342271536049,0.366784304869034
"2_4 - 4_4",0.13738082386015,0.292582643650099,Inf,0.469545363820161,1
"2_4 - 5_1",0.702052267949059,0.283552560093357,Inf,2.47591581510643,0.694510371987327
"2_4 - 5_2",-1.54875855753231,7.28269347150962,Inf,-0.212662878588967,1
"2_4 - 5_3",1.28738658316946,0.302061581727818,Inf,4.26200040337968,0.00469313965742513
"2_4 - 5_4",0.162873153659437,0.289739449540827,Inf,0.562136615906307,0.999999999991352
"2_4 - 6_1",1.68046596266189,0.32270072250937,Inf,5.2075060433529,5.08804091330362e-05
"2_4 - 6_2",0.810766079494895,0.281873594922202,Inf,2.87634632722044,0.379209529804786
